i,file,keyword,count,latency_ms
1,bee_movie_script.txt,bee,94,22.348
2,bee_movie_script.txt,honey,51,7.578
3,bee_movie_script.txt,the,259,6.938
4,bee_movie_script.txt,you,327,7.819
5,bee_movie_script.txt,Barry,50,6.994
6,bee_movie_script.txt,bee,94,3.702
7,bee_movie_script.txt,honey,51,3.972
