i,file,keyword,count,latency_ms
1,bee_movie_script.txt,bee,94,11.513
2,bee_movie_script.txt,honey,51,6.426
3,bee_movie_script.txt,the,259,7.634
4,bee_movie_script.txt,you,327,7.388
5,bee_movie_script.txt,Barry,50,7.014
6,bee_movie_script.txt,bee,94,4.299
7,bee_movie_script.txt,honey,51,4.121
