i,file,keyword,count,latency_ms
1,bee_movie_script.txt,bee,94,8.029
2,bee_movie_script.txt,honey,51,3.348
3,bee_movie_script.txt,the,259,3.126
4,bee_movie_script.txt,you,327,3.455
5,bee_movie_script.txt,Barry,50,4.238
6,bee_movie_script.txt,bee,94,3.197
7,bee_movie_script.txt,honey,51,3.264
